Código,Nombre,Costo Directo,Costo directo + Costos fijos,% Ganancia,Precio Total,Precio + IVA 4.06%,Precio actual
1,Hamburguesa de res,40,62,50,102,$106,85
2,Hamburguesa de camarón,51,72,50,108,$112,135
3,Hamburguesa de salmón,64,85,50,127,$132,135
4,Hamburguesa de pollo,25,47,50,70,$73,90
5,Hamburguesa de portobello,31,53,50,79,$82,90
6,Papas a la francesa,18,39,15,45,$47,40
7,Papas de la casa,,,,,$0,
8,Papas canica,26,48,50,71,$74,70
9,Hamburguesa doble res,,,,,$0,
10,Hamburguesa doble pollo,,,,,$0,
11,Hamburguesa doble portobello,,,,,$0,
12,Hamburguesa doble camarón,,,,,$0,
13,Hamburguesa doble salmón,,,,,$0,
14,Hamburguesa casa res,,,,,$0,
15,Hamburguesa casa pollo,,,,,$0,
16,Hamburguesa casa portobello,,,,,$0,
17,Hamburguesa casa camarón,,,,,$0,
18,Hamburguesa casa salmón,,,,,$0,
19,Hamburguesa light res,,,,,$0,
20,Hamburguesa light pollo,,,,,$0,
21,Hamburguesa light portobello,,,,,$0,
22,Hamburguesa light camarón,,,,,$0,
23,Hamburguesa light salmón,,,,,$0,
24,Hot dog,,,,,$0,
25,Hot dog jumbo,,,,,$0,
26,Banderillas,,,,,$0,
27,Nuggets,,,,,$0,
